PassengerId,Survived,Pclass,Sex,Age,Fare,Cabin_ind,Family_cnt
1,0,3,0,22.0,7.25,0,1
2,1,1,1,38.0,71.2833,1,1
3,1,3,1,26.0,7.925,0,0
4,1,1,1,35.0,53.1,1,1
5,0,3,0,35.0,8.05,0,0
6,0,3,0,29.69911764705882,8.4583,0,0
7,0,1,0,54.0,51.8625,1,0
8,0,3,0,2.0,21.075,0,4
9,1,3,1,27.0,11.1333,0,2
10,1,2,1,14.0,30.0708,0,1
11,1,3,1,4.0,16.7,1,2
12,1,1,1,58.0,26.55,1,0
13,0,3,0,20.0,8.05,0,0
14,0,3,0,39.0,31.275,0,6
15,0,3,1,14.0,7.8542,0,0
16,1,2,1,55.0,16.0,0,0
17,0,3,0,2.0,29.125,0,5
18,1,2,0,29.69911764705882,13.0,0,0
19,0,3,1,31.0,18.0,0,1
20,1,3,1,29.69911764705882,7.225,0,0
21,0,2,0,35.0,26.0,0,0
22,1,2,0,34.0,13.0,1,0
23,1,3,1,15.0,8.0292,0,0
24,1,1,0,28.0,35.5,1,0
25,0,3,1,8.0,21.075,0,4
26,1,3,1,38.0,31.3875,0,6
27,0,3,0,29.69911764705882,7.225,0,0
28,0,1,0,19.0,263.0,1,5
29,1,3,1,29.69911764705882,7.8792,0,0
30,0,3,0,29.69911764705882,7.8958,0,0
31,0,1,0,40.0,27.7208,0,0
32,1,1,1,29.69911764705882,146.5208,1,1
33,1,3,1,29.69911764705882,7.75,0,0
34,0,2,0,66.0,10.5,0,0
35,0,1,0,28.0,82.1708,0,1
36,0,1,0,42.0,52.0,0,1
37,1,3,0,29.69911764705882,7.2292,0,0
38,0,3,0,21.0,8.05,0,0
39,0,3,1,18.0,18.0,0,2
40,1,3,1,14.0,11.2417,0,1
41,0,3,1,40.0,9.475,0,1
42,0,2,1,27.0,21.0,0,1
43,0,3,0,29.69911764705882,7.8958,0,0
44,1,2,1,3.0,41.5792,0,3
45,1,3,1,19.0,7.8792,0,0
46,0,3,0,29.69911764705882,8.05,0,0
47,0,3,0,29.69911764705882,15.5,0,1
48,1,3,1,29.69911764705882,7.75,0,0
49,0,3,0,29.69911764705882,21.6792,0,2
50,0,3,1,18.0,17.8,0,1
51,0,3,0,7.0,39.6875,0,5
52,0,3,0,21.0,7.8,0,0
53,1,1,1,49.0,76.7292,1,1
54,1,2,1,29.0,26.0,0,1
55,0,1,0,65.0,61.9792,1,1
56,1,1,0,29.69911764705882,35.5,1,0
57,1,2,1,21.0,10.5,0,0
58,0,3,0,28.5,7.2292,0,0
59,1,2,1,5.0,27.75,0,3
60,0,3,0,11.0,46.9,0,7
61,0,3,0,22.0,7.2292,0,0
62,1,1,1,38.0,80.0,1,0
63,0,1,0,45.0,83.475,1,1
64,0,3,0,4.0,27.9,0,5
65,0,1,0,29.69911764705882,27.7208,0,0
66,1,3,0,29.69911764705882,15.2458,0,2
67,1,2,1,29.0,10.5,1,0
68,0,3,0,19.0,8.1583,0,0
69,1,3,1,17.0,7.925,0,6
70,0,3,0,26.0,8.6625,0,2
71,0,2,0,32.0,10.5,0,0
72,0,3,1,16.0,46.9,0,7
73,0,2,0,21.0,73.5,0,0
74,0,3,0,26.0,14.4542,0,1
75,1,3,0,32.0,56.4958,0,0
76,0,3,0,25.0,7.65,1,0
77,0,3,0,29.69911764705882,7.8958,0,0
78,0,3,0,29.69911764705882,8.05,0,0
79,1,2,0,0.83,29.0,0,2
80,1,3,1,30.0,12.475,0,0
81,0,3,0,22.0,9.0,0,0
82,1,3,0,29.0,9.5,0,0
83,1,3,1,29.69911764705882,7.7875,0,0
84,0,1,0,28.0,47.1,0,0
85,1,2,1,17.0,10.5,0,0
86,1,3,1,33.0,15.85,0,3
87,0,3,0,16.0,34.375,0,4
88,0,3,0,29.69911764705882,8.05,0,0
89,1,1,1,23.0,263.0,1,5
90,0,3,0,24.0,8.05,0,0
91,0,3,0,29.0,8.05,0,0
92,0,3,0,20.0,7.8542,0,0
93,0,1,0,46.0,61.175,1,1
94,0,3,0,26.0,20.575,0,3
95,0,3,0,59.0,7.25,0,0
96,0,3,0,29.69911764705882,8.05,0,0
97,0,1,0,71.0,34.6542,1,0
98,1,1,0,23.0,63.3583,1,1
99,1,2,1,34.0,23.0,0,1
100,0,2,0,34.0,26.0,0,1
101,0,3,1,28.0,7.8958,0,0
102,0,3,0,29.69911764705882,7.8958,0,0
103,0,1,0,21.0,77.2875,1,1
104,0,3,0,33.0,8.6542,0,0
105,0,3,0,37.0,7.925,0,2
106,0,3,0,28.0,7.8958,0,0
107,1,3,1,21.0,7.65,0,0
108,1,3,0,29.69911764705882,7.775,0,0
109,0,3,0,38.0,7.8958,0,0
110,1,3,1,29.69911764705882,24.15,0,1
111,0,1,0,47.0,52.0,1,0
112,0,3,1,14.5,14.4542,0,1
113,0,3,0,22.0,8.05,0,0
114,0,3,1,20.0,9.825,0,1
115,0,3,1,17.0,14.4583,0,0
116,0,3,0,21.0,7.925,0,0
117,0,3,0,70.5,7.75,0,0
118,0,2,0,29.0,21.0,0,1
119,0,1,0,24.0,247.5208,1,1
120,0,3,1,2.0,31.275,0,6
121,0,2,0,21.0,73.5,0,2
122,0,3,0,29.69911764705882,8.05,0,0
123,0,2,0,32.5,30.0708,0,1
124,1,2,1,32.5,13.0,1,0
